"","SYMBOL","GO","EVIDENCE","ONTOLOGY"
"1","PPIAP28",NA,NA,NA
"2","PTLAH",NA,NA,NA
"3","HIST1H2BC","GO:0000786","NAS","CC"
"4","HIST1H2BC","GO:0000788","IBA","CC"
"5","HIST1H2BC","GO:0002227","IDA","BP"
"6","HIST1H2BC","GO:0003677","IBA","MF"
"7","HIST1H2BC","GO:0003677","NAS","MF"
"8","HIST1H2BC","GO:0005515","IPI","MF"
"9","HIST1H2BC","GO:0005615","IDA","CC"
"10","HIST1H2BC","GO:0005634","IDA","CC"
"11","HIST1H2BC","GO:0005654","TAS","CC"
"12","HIST1H2BC","GO:0006325","TAS","BP"
"13","HIST1H2BC","GO:0006334","IBA","BP"
"14","HIST1H2BC","GO:0006334","NAS","BP"
"15","HIST1H2BC","GO:0019731","IDA","BP"
"16","HIST1H2BC","GO:0046982","IEA","MF"
"17","HIST1H2BC","GO:0050830","IDA","BP"
"18","HIST1H2BC","GO:0070062","IDA","CC"
"19","ZNF804A","GO:0046872","IEA","MF"
"20","MIR1972-2",NA,NA,NA
"21","PLA2G5","GO:0005509","IEA","MF"
"22","PLA2G5","GO:0005576","TAS","CC"
"23","PLA2G5","GO:0005794","IEA","CC"
"24","PLA2G5","GO:0005886","IEA","CC"
"25","PLA2G5","GO:0006644","TAS","BP"
"26","PLA2G5","GO:0006654","TAS","BP"
"27","PLA2G5","GO:0006663","IEA","BP"
"28","PLA2G5","GO:0008201","IEA","MF"
"29","PLA2G5","GO:0009986","IEA","CC"
"30","PLA2G5","GO:0010518","IDA","BP"
"31","PLA2G5","GO:0016042","IEA","BP"
"32","PLA2G5","GO:0019370","IEA","BP"
"33","PLA2G5","GO:0034097","IEA","BP"
"34","PLA2G5","GO:0036148","TAS","BP"
"35","PLA2G5","GO:0036149","TAS","BP"
"36","PLA2G5","GO:0036150","TAS","BP"
"37","PLA2G5","GO:0036151","TAS","BP"
"38","PLA2G5","GO:0036152","TAS","BP"
"39","PLA2G5","GO:0044281","TAS","BP"
"40","PLA2G5","GO:0046474","TAS","BP"
