,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000189221.9,2422.41178219515,3.42210234631848,0.134358542796741,18.0271555191147,1.19271738266071e-72,2.32269783099347e-68
ENSG00000109906.13,415.98372186427,6.32578069788661,0.303289160614052,17.5600759588764,4.98085313581196e-69,4.8498566983401e-65
ENSG00000101347.8,14201.6948849862,3.76392585748325,0.157960226046267,17.4976063700598,1.49417854567321e-68,9.69921099948e-65
ENSG00000211445.11,12651.9891934093,3.76781831283661,0.165187172021453,16.7556492369587,5.14956718362136e-63,2.50706678334606e-59
ENSG00000120129.5,3468.84371945729,2.96751161333025,0.120229451848811,16.3646393048885,3.42048274151331e-60,1.3322096181646e-56
ENSG00000196136.17,2745.13754980148,3.24043059331772,0.14372121201342,15.5887259920165,8.68483316592788e-55,2.81880735122132e-51
ENSG00000152583.12,966.020571251524,4.41714992121145,0.219447411291906,15.5716119005204,1.13510268490686e-54,3.15785566941088e-51
ENSG00000127954.12,484.438968504124,4.84459695138232,0.287613884993223,13.3672160906728,9.39933560935988e-41,2.28803327070843e-37
ENSG00000163884.3,576.573767433715,4.41781463344053,0.256871607244358,13.3055368403921,2.14943691903091e-40,4.65090384013422e-37
ENSG00000198624.12,2043.65384074617,2.86040864585285,0.152611561486011,12.1904829996997,3.49344675403889e-34,6.80313820881533e-31
ENSG00000125148.6,3720.11351556008,2.22638867434186,0.105453583676366,11.6296538399834,2.91276343059798e-31,5.15665045886045e-28
ENSG00000163083.5,426.747931713572,3.48702428147554,0.214344736140151,11.6029174602607,3.98265388558286e-31,6.46318348065338e-28
ENSG00000165995.18,502.943459834893,3.02552317154033,0.175545984181546,11.5384192978495,8.44630630661357e-31,1.26525668473071e-27
ENSG00000179094.15,741.042641497934,2.89268781945004,0.166254210830218,11.3843000426791,5.00686535242441e-30,6.96454970522236e-27
ENSG00000178695.5,2712.40643824367,-2.53368086520056,0.137154189973256,-11.1821656013543,4.98582536606717e-29,6.47293087858614e-26
ENSG00000162614.18,5674.23646187055,1.9916909707208,0.089617502054427,11.0658180376253,1.83778282984443e-28,2.23681142677441e-25
ENSG00000154734.14,29965.6742439715,2.2333351110944,0.111687799591721,11.0427022074291,2.37773054956487e-28,2.72376027777802e-25
ENSG00000134243.11,5594.07399175456,2.18744590415331,0.111141114460991,10.6841281006777,1.20778588473398e-26,1.30669012885053e-23
ENSG00000146250.6,315.2772582067,-2.73034394752745,0.164802238989714,-10.4995172282547,8.68230203401121e-26,8.89890262159654e-23
ENSG00000157214.13,3051.7255830142,2.00109019417721,0.102480005011553,9.76863920005036,1.53499885869181e-22,1.49462838870822e-19
ENSG00000166741.7,7590.52017379346,2.24124254606848,0.127874259100833,9.70674281748697,2.82211435342463e-22,2.61704071040911e-19
ENSG00000187193.8,199.898326543764,3.22031162351132,0.229377801989031,9.67971444602777,3.67741667798476e-22,3.25518238123069e-19
ENSG00000124766.6,1297.83736129645,-2.3873765923443,0.143976198703853,-9.63615239764746,5.62571739472514e-22,4.76327045847293e-19
ENSG00000126016.15,405.244480050951,-2.53527272799015,0.160136775628459,-9.58725890392729,9.04561969701091e-22,7.33976658248294e-19
ENSG00000157150.4,195.826725056396,2.91143157450195,0.199913943094121,9.56127193990686,1.163182349542e-21,9.06072522999238e-19
