rt	intensity
100	0
110	0
120	1
130	2
140	4
150	6
160	11
170	18
180	25
190	30
200	38
210	37
220	41
230	45
240	56
250	62
260	71
270	80
280	95
290	105
300	108
310	105
320	112
330	117
340	131
350	114
360	131
370	123
380	139
390	126
400	150
410	144
420	135
430	171
440	174
450	185
460	213
470	212
480	213
490	194
500	168
510	142
520	127
530	130
540	119
550	114
560	93
570	77
580	57
590	44
600	42
610	41
620	19
630	13
640	7
650	4
660	2
670	1
680	0
690	0
700	0
710	0
720	0
730	0
740	2
750	7
760	14
770	52
780	82
790	85
800	107
810	105
820	121
830	123
840	68
850	81
860	123
870	139
880	156
890	165
900	165
910	154
920	142
930	127
940	66
950	74
960	106
970	120
980	142
990	149
1000	147
1010	142
1020	128
1030	121
1040	109
1050	90
1060	84
1070	79
1080	67
1090	62
1100	63
1110	41
1120	36
1130	40
1140	38
1150	31
1160	25
1170	19
1180	13
1190	5
1200	1
1210	0
1220	1
1230	0
1240	0
1250	1
1260	0
1270	0
1280	0
1290	1
1300	0
