"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003",679,448,873,408,1138,1047,770,572
"ENSG00000000419",467,515,621,365,587,799,417,508
"ENSG00000000457",260,211,263,164,245,331,233,229
"ENSG00000000460",60,55,40,35,78,63,76,60
"ENSG00000000938",0,0,2,0,1,0,0,0
"ENSG00000000971",3251,3679,6177,4252,6721,11027,5176,7995
"ENSG00000001036",1433,1062,1733,881,1424,1439,1359,1109
"ENSG00000001084",519,380,595,493,820,714,696,704
"ENSG00000001167",394,236,464,175,658,584,360,269
"ENSG00000001460",172,168,264,118,241,210,155,177
"ENSG00000001461",2112,1867,5137,2657,2735,2751,2467,2905
"ENSG00000001497",524,488,638,357,676,806,493,475
"ENSG00000001561",71,51,211,156,23,38,134,172
"ENSG00000001617",555,394,905,415,727,697,618,599
"ENSG00000001626",10,2,9,2,10,6,5,5
"ENSG00000001629",1660,1251,2259,1079,2462,2514,1888,1660
"ENSG00000001630",59,54,66,23,84,87,31,59
"ENSG00000001631",729,692,943,475,1034,1163,731,744
"ENSG00000002016",201,161,256,99,268,257,160,137
"ENSG00000002079",3,0,3,1,4,0,0,1
"ENSG00000002330",206,174,184,111,194,260,156,177
"ENSG00000002549",1459,1294,1317,998,1451,1824,853,1031
"ENSG00000002586",7507,7203,9501,6214,10973,12863,6834,7225
"ENSG00000002587",2,0,1,0,0,2,0,0
"ENSG00000002726",0,0,1,0,0,0,0,0
"ENSG00000002745",4,6,22,10,2,1,5,3
"ENSG00000002746",151,139,117,65,90,102,86,119
"ENSG00000002822",411,303,446,195,445,523,295,300
"ENSG00000002834",6314,6364,7831,5809,6677,11970,5766,7825
"ENSG00000002919",234,246,298,211,217,376,184,265
"ENSG00000002933",1254,1508,636,431,25,27,70,109
"ENSG00000003056",1189,947,1266,693,1288,1555,957,899
"ENSG00000003096",550,315,557,171,519,284,485,224
"ENSG00000003137",124,57,256,63,30,45,194,68
"ENSG00000003147",0,0,0,1,1,2,2,0
"ENSG00000003249",81,71,207,80,109,112,156,128
"ENSG00000003393",769,723,791,540,1115,1509,768,864
"ENSG00000003400",98,59,133,72,58,49,96,67
"ENSG00000003402",1424,2617,1742,2364,2342,5198,1262,3761
"ENSG00000003436",4373,4183,5794,3230,7344,4981,3452,3342
"ENSG00000003509",287,280,357,191,386,396,251,248
"ENSG00000003756",2368,1748,2694,1327,2647,2520,1996,2073
"ENSG00000003987",17,25,25,29,20,51,12,27
"ENSG00000003989",47,56,12,3,51,102,18,46
"ENSG00000004059",1090,1306,1140,817,1334,1986,1028,1347
"ENSG00000004139",86,83,103,51,115,99,82,77
"ENSG00000004142",1496,1545,1607,964,1754,2301,1133,1256
"ENSG00000004399",4077,4260,3651,1649,5387,5992,2718,2809
"ENSG00000004455",1207,1111,1485,767,1497,2274,1017,921
"ENSG00000004468",3,1,0,0,3,1,2,1
"ENSG00000004478",502,461,551,281,612,659,400,392
"ENSG00000004487",1410,989,1492,727,1708,1614,1263,1035
"ENSG00000004534",1202,1015,1855,919,1721,1714,1171,1013
"ENSG00000004660",95,55,59,35,87,79,154,67
"ENSG00000004700",940,1096,1192,766,949,1452,812,1192
"ENSG00000004766",492,413,546,337,611,677,435,424
"ENSG00000004776",3473,3078,2775,1621,2084,2254,3571,3153
"ENSG00000004777",131,112,134,56,91,76,111,71
"ENSG00000004779",329,335,494,258,417,572,294,325
"ENSG00000004799",81,782,130,1106,235,485,628,3187
"ENSG00000004838",12,11,22,8,12,18,17,6
"ENSG00000004846",23,3,70,11,8,9,22,5
"ENSG00000004864",143,117,131,88,227,284,146,129
"ENSG00000004866",449,259,772,241,527,502,401,296
"ENSG00000004897",1549,1339,1730,1107,1793,2173,1338,1407
"ENSG00000004961",446,330,531,287,666,604,360,405
"ENSG00000004975",1366,1002,1069,516,1237,1061,1020,841
"ENSG00000005007",2158,2266,2436,1518,2341,3310,1964,2495
"ENSG00000005020",833,781,715,556,637,827,769,904
"ENSG00000005022",1340,1059,1323,785,1294,1450,922,974
"ENSG00000005059",215,197,249,177,193,204,211,236
"ENSG00000005073",1,0,1,0,1,1,0,0
"ENSG00000005075",797,828,1010,529,980,1265,678,682
"ENSG00000005100",434,445,487,356,522,695,379,628
"ENSG00000005102",1,0,0,0,3,0,0,0
"ENSG00000005108",9,7,6,8,9,20,12,15
"ENSG00000005156",229,143,242,93,347,409,182,126
"ENSG00000005175",347,294,237,123,513,449,345,298
"ENSG00000005187",4,6,12,10,9,10,12,6
"ENSG00000005189",82,62,88,58,92,53,93,71
"ENSG00000005194",413,410,557,352,537,685,355,428
"ENSG00000005206",680,586,760,418,748,1049,583,632
"ENSG00000005238",805,627,850,396,989,957,596,621
"ENSG00000005243",1132,928,1332,755,990,1088,1038,940
"ENSG00000005249",220,242,281,317,291,387,209,413
"ENSG00000005302",481,523,495,316,496,687,404,379
"ENSG00000005339",2639,1917,3135,1491,3225,3957,2378,2557
"ENSG00000005379",186,152,122,87,171,311,118,130
"ENSG00000005381",4,10,9,1,0,3,6,3
"ENSG00000005421",0,0,0,0,1,0,0,0
"ENSG00000005436",214,216,282,182,318,422,238,252
"ENSG00000005448",229,206,270,152,234,432,166,247
"ENSG00000005469",498,379,305,171,626,508,515,472
"ENSG00000005471",64,18,60,17,21,18,52,22
"ENSG00000005483",1679,1466,1698,1096,2159,2558,1546,1782
"ENSG00000005486",768,618,1110,564,1185,1423,763,687
"ENSG00000005513",10,2,5,0,5,3,5,7
"ENSG00000005700",1069,824,1512,790,1335,1703,1157,1165
"ENSG00000005801",200,172,295,136,320,279,197,150
"ENSG00000005810",2688,2018,2621,1535,2946,3682,2216,2298
"ENSG00000005812",1361,1380,1381,1300,1126,1815,1162,1680
"ENSG00000005844",1,0,2,0,1,1,1,0
"ENSG00000005882",610,546,740,407,817,774,650,704
"ENSG00000005884",708,655,1566,1114,1328,2635,1207,1457
"ENSG00000005889",679,593,771,465,857,1115,929,1028
"ENSG00000005893",5102,4470,6219,3853,5653,6954,4722,5161
"ENSG00000005955",1329,1279,1772,1055,1705,1918,1152,1465
"ENSG00000005961",5,11,12,3,7,5,14,10
"ENSG00000006007",1941,1825,2481,1676,2858,3584,1729,2105
"ENSG00000006015",517,463,410,191,260,366,410,375
"ENSG00000006016",132,95,98,82,79,168,243,263
"ENSG00000006025",229,132,278,78,185,97,205,104
"ENSG00000006042",2986,2393,3664,2077,3852,4572,2927,3010
"ENSG00000006047",0,1,1,0,1,0,3,0
"ENSG00000006062",272,224,274,79,287,177,199,116
"ENSG00000006074",0,0,0,0,0,0,0,1
"ENSG00000006114",1224,711,1310,560,1537,1211,990,742
"ENSG00000006118",513,336,579,254,738,594,380,247
"ENSG00000006125",7174,5362,7780,5110,8105,9420,5580,6653
"ENSG00000006128",0,4,1,0,0,0,0,0
"ENSG00000006194",540,451,583,433,664,844,499,508
"ENSG00000006210",5,6,2,3,3,15,12,31
"ENSG00000006282",1747,1317,1334,715,1633,1868,1355,1314
"ENSG00000006283",113,45,40,5,157,77,80,25
"ENSG00000006327",540,348,668,258,720,1360,582,367
"ENSG00000006432",5,4,7,5,12,7,1,2
"ENSG00000006451",1791,920,1143,544,1574,1155,1102,801
"ENSG00000006453",141,99,207,108,195,219,158,129
"ENSG00000006459",430,327,338,289,462,373,438,499
"ENSG00000006468",214,94,207,120,171,229,315,263
"ENSG00000006530",303,276,344,203,420,467,268,277
"ENSG00000006534",875,1108,1391,856,1521,2571,525,843
"ENSG00000006576",924,653,1538,678,1347,1144,1454,1016
"ENSG00000006606",3,4,7,1,7,10,2,2
"ENSG00000006607",652,733,924,776,674,1458,738,1144
"ENSG00000006625",207,186,216,101,289,333,171,133
"ENSG00000006634",98,70,104,48,113,103,96,72
"ENSG00000006638",90,47,112,43,75,49,67,52
"ENSG00000006652",889,823,1047,586,1581,1768,1178,1097
"ENSG00000006695",166,150,221,130,209,356,139,170
"ENSG00000006704",309,221,346,170,330,276,299,331
"ENSG00000006712",991,866,1504,715,1575,1480,1054,938
"ENSG00000006715",2054,1582,2681,1578,2825,3223,2174,2138
"ENSG00000006740",37,26,27,18,38,38,48,55
"ENSG00000006744",928,935,1065,617,1090,1344,693,924
"ENSG00000006747",3,3,1,0,2,3,2,2
"ENSG00000006756",391,295,488,278,541,598,449,562
"ENSG00000006757",119,140,175,86,203,221,141,143
"ENSG00000006788",4,35,0,1,5,17,0,20
"ENSG00000006831",1070,1033,1187,851,1181,1615,878,1102
"ENSG00000006837",17,6,13,7,17,13,15,8
"ENSG00000007001",3,3,4,0,3,0,1,1
"ENSG00000007038",1,0,5,2,0,0,1,4
"ENSG00000007047",741,675,840,553,979,1121,700,798
"ENSG00000007062",1,0,1,0,0,1,0,0
"ENSG00000007080",617,697,698,393,786,1169,473,586
"ENSG00000007168",3191,2910,3808,2388,3809,4813,2846,3212
"ENSG00000007171",0,2,0,0,2,2,5,1
"ENSG00000007174",0,1,1,0,2,1,1,0
"ENSG00000007202",4196,3353,5237,2825,5104,6764,3823,3978
"ENSG00000007237",404,114,309,42,277,144,1343,730
"ENSG00000007255",129,145,116,115,139,175,114,101
"ENSG00000007264",0,0,0,0,0,1,0,0
"ENSG00000007312",1,2,0,4,5,0,1,2
"ENSG00000007314",0,1,2,1,1,0,1,0
"ENSG00000007341",138,110,154,77,189,297,144,189
"ENSG00000007372",32,35,27,22,22,38,41,39
"ENSG00000007376",281,274,224,122,309,404,218,253
"ENSG00000007384",1982,1878,1987,1001,1937,2524,1714,1983
"ENSG00000007392",770,591,820,415,836,826,626,613
"ENSG00000007402",18,13,12,20,15,10,17,31
"ENSG00000007516",5,8,7,5,12,12,7,11
"ENSG00000007520",494,464,488,252,487,728,396,436
"ENSG00000007541",731,621,682,369,641,1005,557,730
"ENSG00000007545",203,207,227,148,248,303,197,191
"ENSG00000007866",1474,2063,1696,1375,1246,2207,1123,1765
"ENSG00000007923",561,533,702,393,824,1009,540,549
"ENSG00000007933",761,785,2179,1583,224,346,280,284
"ENSG00000007944",373,245,522,193,514,445,321,232
"ENSG00000007952",10,11,8,9,12,17,4,9
"ENSG00000007968",1,4,1,2,0,2,0,0
"ENSG00000008018",1669,1479,1787,1096,1633,1970,1340,1398
"ENSG00000008056",8,24,25,15,15,24,13,21
"ENSG00000008083",277,260,284,220,308,541,227,364
"ENSG00000008086",98,90,128,37,142,176,106,93
"ENSG00000008118",3,3,9,2,9,4,6,12
"ENSG00000008128",32,23,24,10,14,17,30,28
"ENSG00000008130",1276,1814,1413,1420,1445,2354,1103,2475
"ENSG00000008196",1,1,1,1,0,0,0,0
"ENSG00000008226",9,4,5,2,6,3,5,14
"ENSG00000008256",1815,3053,3036,3707,2771,8634,2115,5313
"ENSG00000008277",17,14,23,14,21,17,23,16
"ENSG00000008282",1874,1763,1958,1647,1894,2700,1835,2144
"ENSG00000008283",559,480,612,339,629,837,440,427
"ENSG00000008294",2819,2278,3539,2009,3259,3911,2953,2980
"ENSG00000008300",62,81,87,49,124,175,72,87
"ENSG00000008311",494,949,565,655,451,1037,447,1103
"ENSG00000008323",7,12,4,3,11,19,5,5
"ENSG00000008324",111,153,85,102,109,146,114,142
"ENSG00000008382",81,66,88,49,110,147,69,81
"ENSG00000008394",2722,2822,2967,1948,7202,8116,2520,2678
"ENSG00000008405",249,261,269,165,277,411,312,253
"ENSG00000008438",0,6,1,1,1,1,0,3
"ENSG00000008441",13653,9483,13436,6080,12077,11576,12068,9821
"ENSG00000008513",2057,1206,1752,588,2655,2319,1624,1090
"ENSG00000008516",3,1,3,0,6,5,2,3
"ENSG00000008517",277,120,323,97,92,100,290,164
"ENSG00000008710",4997,5334,5264,3282,4274,9038,4670,7609
"ENSG00000008735",13,21,18,13,18,14,14,26
"ENSG00000008838",1228,1002,1320,685,1431,1724,1022,1128
"ENSG00000008853",429,487,510,442,513,822,473,828
"ENSG00000008869",737,646,780,471,798,947,673,731
"ENSG00000008952",4473,4375,5375,3611,5753,8077,4886,5187
"ENSG00000008988",12982,11687,13055,6973,11456,13255,9469,9293
"ENSG00000009307",14887,12833,19863,11612,19887,22097,13495,14987
"ENSG00000009335",2019,2042,2213,1518,2429,3246,1742,2027
"ENSG00000009413",4986,9573,5214,7251,5563,10312,4700,11982
"ENSG00000009694",20,7,2,2,2,0,1,1
"ENSG00000009724",38,28,66,24,42,41,47,36
"ENSG00000009765",0,2,0,1,0,2,0,3
"ENSG00000009780",153,209,153,165,147,198,140,206
"ENSG00000009790",18,11,15,7,12,14,10,10
"ENSG00000009830",425,418,440,295,508,611,374,363
"ENSG00000009844",829,672,1049,545,1087,1229,752,820
"ENSG00000009950",2,9,1,1,0,0,0,5
"ENSG00000009954",2800,2611,3397,1970,3813,3894,2838,2788
"ENSG00000010017",1300,1960,1559,1655,1705,2501,1407,2681
"ENSG00000010030",28,13,20,8,15,10,17,8
"ENSG00000010072",169,141,202,125,212,221,164,156
"ENSG00000010165",947,938,1152,605,1030,1122,807,797
"ENSG00000010219",200,157,246,110,256,266,172,146
"ENSG00000010244",2085,1998,2170,1331,2616,3317,1545,1756
"ENSG00000010256",1630,1776,1661,1331,1973,3206,1240,1964
"ENSG00000010270",879,803,837,511,961,1038,591,686
"ENSG00000010278",3125,3522,3829,3645,2693,5055,3603,5260
"ENSG00000010292",1331,1028,1365,823,1281,1498,1073,1296
"ENSG00000010295",1427,1228,1714,820,936,1046,1187,1273
"ENSG00000010310",11,5,29,6,23,12,22,12
"ENSG00000010318",68,56,80,60,85,70,81,88
"ENSG00000010319",1,0,2,0,0,2,0,1
"ENSG00000010322",2635,1889,3298,1480,3737,3715,2447,2226
"ENSG00000010327",0,0,1,1,0,1,1,1
"ENSG00000010361",188,178,236,132,150,191,165,227
"ENSG00000010379",0,1,4,1,0,0,0,0
"ENSG00000010404",1483,1306,2374,1593,2171,3097,1790,2175
"ENSG00000010438",5,5,10,5,17,35,26,19
"ENSG00000010539",128,99,139,83,153,177,122,97
"ENSG00000010610",31,23,95,49,133,136,24,17
"ENSG00000010626",149,107,194,105,169,180,151,113
"ENSG00000010671",0,0,0,0,1,1,0,0
"ENSG00000010704",513,315,595,327,483,521,462,494
"ENSG00000010803",758,686,864,523,966,1042,702,714
"ENSG00000010810",1689,1674,1655,933,2496,2859,1318,1466
"ENSG00000010818",1654,1096,1795,742,2004,2053,1371,1099
"ENSG00000010932",14,20,80,61,0,21,23,23
"ENSG00000011007",1184,1093,1130,789,1249,1621,877,1052
"ENSG00000011009",452,473,489,292,514,755,391,465
"ENSG00000011021",697,581,629,382,667,820,569,714
"ENSG00000011028",18210,13395,23978,10779,18026,19714,16880,15349
"ENSG00000011083",0,0,1,1,1,0,0,0
